task_name,layer,score
wh_island,9,0.549
wh_island,10,0.502
wh_island,11,0.388
wh_island,12,0.212
left_branch_island_echo_question,0,0.704
left_branch_island_echo_question,1,0.592
left_branch_island_echo_question,2,0.618
left_branch_island_echo_question,3,0.542
left_branch_island_echo_question,4,0.471
left_branch_island_echo_question,5,0.427
left_branch_island_echo_question,6,0.488
left_branch_island_echo_question,7,0.58
left_branch_island_echo_question,8,0.771
left_branch_island_echo_question,9,0.829
left_branch_island_echo_question,10,0.877
left_branch_island_echo_question,11,0.896
left_branch_island_echo_question,12,0.851
coordinate_structure_constraint_object_extraction,0,0.483
coordinate_structure_constraint_object_extraction,1,0.296
coordinate_structure_constraint_object_extraction,2,0.111
coordinate_structure_constraint_object_extraction,3,0.172
coordinate_structure_constraint_object_extraction,4,0.214
coordinate_structure_constraint_object_extraction,5,0.405
coordinate_structure_constraint_object_extraction,6,0.516
coordinate_structure_constraint_object_extraction,7,0.747
coordinate_structure_constraint_object_extraction,8,0.737
coordinate_structure_constraint_object_extraction,9,0.754
coordinate_structure_constraint_object_extraction,10,0.792
coordinate_structure_constraint_object_extraction,11,0.79
coordinate_structure_constraint_object_extraction,12,0.609
ellipsis_n_bar_1,0,0.442
ellipsis_n_bar_1,1,0.396
ellipsis_n_bar_1,2,0.537
ellipsis_n_bar_1,3,0.533
ellipsis_n_bar_1,4,0.617
ellipsis_n_bar_1,5,0.759
ellipsis_n_bar_1,6,0.802
ellipsis_n_bar_1,7,0.745
ellipsis_n_bar_1,8,0.626
ellipsis_n_bar_1,9,0.723
ellipsis_n_bar_1,10,0.799
ellipsis_n_bar_1,11,0.698
ellipsis_n_bar_1,12,0.569
existential_there_subject_raising,0,0.577
existential_there_subject_raising,1,0.506
existential_there_subject_raising,2,0.3
existential_there_subject_raising,3,0.253
existential_there_subject_raising,4,0.367
